21466	2.1	35	35	10
30597	2.1	35	35	24
35213	1.1	35	35	27
21616	1.1	35	35	27
21453	1.1	35	35	25
35217	1.1	35	35	17
37002	2.1	35	35	35
35834	2.1	35	35	35
35226	2.1	35	35	35
34721	1.1	35	35	26
34718	1.1	35	35	35
33892	2.1	35	35	35
32160	2.1	35	35	24
31790	2.1	35	35	35
29054	1.1	35	35	26
23805	1.1	35	35	35
22356	1.1	35	35	35
21716	2.1	35	35	24
21340	1.1	35	35	35
20239	1.1	35	35	35
20232	1.2	35	35	35
20232	2.1	35	35	35
20232	2.2	35	35	35
20990	1.1	30	30	10
34484	1.1	30	30	23
32915	1.1	30	30	30
35219	1.1	21	21	13
22990	2.1	20	20	6
22177	2.2	20	20	16
33029	2.1	16	16	-1
35702	1.1	8	8	3
36892	1.1	3	3	0
36887	1.1	3	3	0
24162	1.2	3	3	0
37240	1.1	3	3	3
37290	2.1	0	0	0
37290	2.2	0	0	0
37274	2.1	0	0	0
37273	2.1	0	0	0
37272	2.2	0	0	0
37239	1.1	0	0	0
37239	1.2	0	0	0
37236	1.1	0	0	0
37235	1.2	0	0	0
37234	1.1	0	0	0
37233	1.1	0	0	0
37230	1.1	0	0	0
37229	1.2	0	0	0
37228	1.2	0	0	0
36937	1.1	0	0	0
36844	1.1	0	0	0
36844	1.2	0	0	0
35230	2.1	0	0	0
35210	1.2	0	0	0
35208	2.2	0	0	0
34745	1.1	0	0	0
34735	1.1	0	0	0
34697	1.1	0	0	0
34697	1.2	0	0	0
34690	1.1	0	0	0
34690	1.2	0	0	0
34465	1.2	0	0	0
33886	2.2	0	0	0
33883	2.1	0	0	0
33743	2.1	0	0	0
33555	1.2	0	0	0
33144	2.1	0	0	0
33023	2.1	0	0	0
33012	2.2	0	0	0
31548	2.1	0	0	0
31548	2.2	0	0	0
31391	2.1	0	0	0
30790	1.1	0	0	0
30790	1.2	0	0	0
30515	1.2	0	0	0
30405	1.2	0	0	0
30301	1.1	0	0	0
30301	1.2	0	0	0
29793	1.1	0	0	0
29793	1.2	0	0	0
27969	1.1	0	0	0
27969	1.2	0	0	0
24162	1.1	0	0	0
24128	2.1	0	0	0
24128	2.2	0	0	0
24044	2.1	0	0	0
23721	2.1	0	0	0
22873	1.1	0	0	0
22226	1.2	0	0	0
22218	2.1	0	0	0
22218	2.2	0	0	0
21966	1.2	0	0	0
35790	1.1	0	0	-3
33052	2.2	0	0	-2
36955	2.1	0	0	0
36899	1.2	0	0	0
36898	1.1	0	0	0
36891	1.1	0	0	0
36888	1.1	0	0	0
35235	2.2	0	0	0
35219	1.2	0	0	0
35212	1.2	0	0	0
34849	2.1	0	0	0
34849	2.2	0	0	0
33886	2.1	0	0	0
33781	2.2	0	0	0
33317	2.1	0	0	0
33057	2.1	0	0	0
33057	2.2	0	0	0
33052	2.1	0	0	-2
33048	2.1	0	0	0
33048	2.2	0	0	0
33037	2.1	0	0	0
33037	2.2	0	0	0
33017	2.1	0	0	0
31637	2.1	0	0	0
31391	2.2	0	0	0
28453	1.1	0	0	0
25775	1.2	0	0	0
23805	1.2	0	0	0
22990	2.2	0	0	0
22226	1.1	0	0	0
37002	2.2	0	-2	-2
35212	1.1	0	-3	-3
20232	1.1	0	-3	-3
33049	2.1	0	-4	-4

